Split,Vectorization,Accuracy,F1_macro,ROC AUC
Random,DTM,0.9752321981424149,0.9736477163356525,0.9815052637663927
Random,Tfidf,0.9860681114551083,0.9868579208254505,0.9911450571875239
Random,Tfidf(L1),0.27631578947368424,0.0865979381443299,0.5
Random,Tfidf(L2),0.9744582043343654,0.9723957153762607,0.9802187866637431
Temporal,DTM,0.9685557586837295,0.9694786548981092,0.9812755614220748
Temporal,Tfidf,0.983180987202925,0.9850942183396445,0.9908841175910276
Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
Temporal,Tfidf(L2),0.9689213893967094,0.9709605669298451,0.981836609764593
