Split,Vectorization,Accuracy,F1_macro,ROC AUC
Random,DTM,0.983359133126935,0.9822270645995795,0.988307168808284
Random,Tfidf,0.9849071207430341,0.9850822997442117,0.9897777951393006
Random,Tfidf(L1),0.2898606811145511,0.09103260075418619,0.4994556341861731
Random,Tfidf(L2),0.9779411764705882,0.9737094837490163,0.9808572558229951
Temporal,DTM,0.9685557586837295,0.9694786548981092,0.9812755614220748
Temporal,Tfidf,0.983180987202925,0.9850942183396445,0.9908841175910276
Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
Temporal,Tfidf(L2),0.9689213893967094,0.9709605669298451,0.981836609764593
