Split,Vectorization,Accuracy,F1_macro,ROC AUC
Random,DTM,0.9558823529411765,0.9560187598518937,0.9718865826830477
Random,Tfidf,0.9868421052631579,0.987582260838533,0.9915275543173451
Random,Tfidf(L1),0.2898606811145511,0.09164912280701756,0.4986398258977149
Random,Tfidf(L2),0.9496904024767802,0.9358500272621711,0.9543515396063118
Temporal,DTM,0.9283363802559415,0.9243965933344226,0.9583188314670128
Temporal,Tfidf,0.9791590493601463,0.9810345750317693,0.9888053786481168
Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
Temporal,Tfidf(L2),0.9341864716636198,0.9375019166257479,0.9612750974360138
